Gene,Sample
cynT,BD163
cynT,BD48
cynT,BD50
cynT,BD54
cynT,BD61
cynT,BD9
cynT,BG1
cynT,E7
cypD_E,BD120
cypD_E,BD126
cypD_E,BD132
cypD_E,BD160
cypD_E,BD162
cypD_E,BD163
cypD_E,BD50
cypD_E,BD9
cypD_E,BG1
dadA,BD120
dadA,BD126
dadA,BD127
dadA,BD132
dadA,BD158
dadA,BD160
dadA,BD162
dadA,BD163
dadA,BD48
dadA,BD50
dadA,BD54
dadA,BD61
dadA,BD9
dadA,BG1
dadA,E7
dat,BD120
dat,BD126
dat,BD127
dat,BD132
dat,BD139
dat,BD160
dat,BD162
dat,BD163
dat,BD50
dat,BD61
dat,BD9
dat,BG1
dauA,BD127
dcd,BD117
dcd,BD127
dcd,BD158
dcd,BD48
dcd,BD54
dcd,BD61
dcd,E7
dck,BD120
dck,BD126
dck,BD132
dck,BD139
dck,BD160
dck,BD162
dck,BD163
dck,BD50
dck,BD9
dck,BG1
dcyD,BD127
dcyD,BD139
dcyD,BD163
dcyD,BD48
dcyD,BD54
dcyD,E7
deoA,BD117
deoA,BD158
deoC,BD117
deoC,BD120
deoC,BD126
deoC,BD132
deoC,BD139
deoC,BD158
deoC,BD160
deoC,BD162
deoC,BD163
deoC,BD50
deoC,BD61
deoC,BD9
deoC,BG1
dfrA12,BD158
dfrA12,BD48
dfrA12,BD54
dfrA12,E7
dgcA,BD158
dgcA,BD61
dgcB,BD158
dge1,BD120
dge1,BD126
dge1,BD132
dge1,BD160
dge1,BD162
dge1,BD50
dge1,BD9
dge1,BG1
dhaA,BD120
dhaA,BD126
dhaA,BD127
dhaA,BD132
dhaA,BD160
dhaA,BD163
dhaA,BD50
dmd-tmd,BD61
dmpB,BD158
dmpK,BD48
dmpK,BD54
dmpK,E7
dmpL,BD48
dmpL,BD54
dmpL,E7
dmpM,BD48
dmpM,BD54
dmpM,E7
dmpN,BD48
dmpN,BD54
dmpN,E7
dmpO,BD48
dmpO,BD54
dmpO,E7
dmpP,BD48
dmpP,BD54
dmpP,E7
dop,BD117
dsbC,BD127
dsbC,BD158
dsbC,BD48
dsbC,BD54
dsbC,E7
dsdA,BD120
dsdA,BD126
dsdA,BD127
dsdA,BD139
dsdA,BD158
dsdA,BD162
dsdA,BD163
dsdA,BD48
dsdA,BD54
dsdA,BD9
dsdA,BG1
dsdA,E7
dta,BD127
dthadh,BD127
etbAa,BD127
etnE,BD117
eutA,BD139
eutA,BD163
eutB,BD139
eutB,BD163
eutB,BD48
eutB,BD54
eutB,E7
eutC,BD139
eutC,BD163
eutC,BD48
eutC,BD54
eutC,E7
fbaB,BD158
fdhA,BD117
fdhA,BD120
fdhA,BD126
fdhA,BD132
fdhA,BD158
fdhA,BD160
fdhA,BD50
fdhA,BD61
fnr,BD120
