target_class,model_version,compound_name,covered_by_selected,covering_selected_samples
Polyaromatic,relaxed,"2,2',4,4',6,6'-Hexachlorobiphenyl",True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,"2,2',4,4'-Tetrachlorobiphenyl",True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,"2,2',5,5'-Tetrachlorobiphenyl",True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,"2,3,3',4,5-Pentachlorobiphenyl",True,BD158;CB13
Polyaromatic,relaxed,2-Naphthylamine,True,BD120;BD158;BD61;CB13
Polyaromatic,relaxed,"3,3'-Dimethoxybenzidine",True,BD117;BD120;BD61
Polyaromatic,relaxed,"3,3'-Dimethylbenzidine",True,BD120
Polyaromatic,relaxed,"3,4,3',4'-Tetrachlorobiphenyl",True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,"3,4,5,3',4',5'-Hexachlorobiphenyl",True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,"4,4'-Methylenebis(N,N-dimethylaniline)",True,BD158;CB13
Polyaromatic,relaxed,Acenaphthene,True,BD120;BD61;CB13
Polyaromatic,relaxed,Amsacrine,True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,Anthracene,True,BD61
Polyaromatic,relaxed,"Anthracene-cis-1,2-dihydrodiol",True,BD61
Polyaromatic,relaxed,Aristolochic acid,True,BD158;CB13
Polyaromatic,relaxed,Arylmercury,True,BD120;BD158;BD61;CB13
Polyaromatic,relaxed,Auramine,True,BD117
Polyaromatic,relaxed,Benzo[a]pyrene,True,BD120;BD61
Polyaromatic,relaxed,"Benzo[a]pyrene-cis-9,10-dihydrodiol",True,BD61
Polyaromatic,relaxed,Benzo[k]fluoranthene,True,BD158;CB13
Polyaromatic,relaxed,Benzophenone,True,BD120
Polyaromatic,relaxed,Cypermethrin,True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,Disperse Blue 1,True,BD117
Polyaromatic,relaxed,Etoposide,True,BD120;BD158;BD61;CB13
Polyaromatic,relaxed,Fluoranthene,True,BD120;BD61;CB13
Polyaromatic,relaxed,Fluoren-9-ol,True,BD61
Polyaromatic,relaxed,Fluorene,True,BD61
Polyaromatic,relaxed,Methoxychlor,True,BD117
Polyaromatic,relaxed,Mitomycin,True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,Mitoxantrone,True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,"N,N'-Diacetylbenzidine",True,BD158;BD61;CB13
Polyaromatic,relaxed,Nafenopin,True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,Naphthalene,True,BD120;BD61
Polyaromatic,relaxed,"Naphthalene-1,2-diol",True,BD61
Polyaromatic,relaxed,Nitrofen,True,BD117;BD120;BD158
Polyaromatic,relaxed,Ochratoxin A,True,BD120;CB13
Polyaromatic,relaxed,Phenolphthalein,True,BD120
Polyaromatic,relaxed,Phenytoin,True,CB13
Polyaromatic,relaxed,Sulfasalazine,True,BD117;BD120;BD158;BD61;CB13
Polyaromatic,relaxed,Tamoxifen,True,BD120
Polyaromatic,relaxed,para-(Dimethylamino)azobenzene,True,BD120
Polyaromatic,relaxed,para-Aminoazobenzene,True,BD117;BD120;BD158;BD61;CB13
